,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Banda ancha fija,Dial up,Provincia,Partido,Localidad,4G,3G,TELEFONIAFIJA,SATELITAL
3310,2020.266586768367,3.6647515130772526,SI,2.756.294,226.285,482.7276886334011,127.4487552789672,9.571.562,Oct-Dic 2014,-5.676366338774166,296.6449544766763,5.049.640,859.413,967.508,1.250.366,3.500.882,192.11956080963975,7.842.778,34.03356481467133,SAN JUAN,Zonda,Villa Tacu,SI,SI,SI,SI
3311,2017.489661811798,2.247051942432141,SI,2.756.294,226.285,282.85631574605543,16.968143335988373,9.571.562,Oct-Dic 2014,9.01480736921372,371.0902291137887,5.049.640,859.413,967.508,1.250.366,3.500.882,130.0016008032547,7.842.778,20.375958036232657,SAN LUIS,Ayacucho,Balde De Azcurra,SI,SI,SI,SI
3312,2014.5727590085287,2.733452904402303,SI,2.756.294,226.285,334.14785259119736,118.03094221992163,9.571.562,Oct-Dic 2014,4.062393256760785,450.365524455897,5.049.640,859.413,967.508,1.250.366,3.500.882,71.9138572321589,7.842.778,32.800112601905106,BUENOS AIRES,Hurlingham,Villa Santos Tesei,SI,SI,SI,SI
3313,2019.2887026848755,1.687213409069503,SI,2.756.294,226.285,574.4662815519375,218.79991513009713,9.571.562,Oct-Dic 2014,-27.077989256772476,230.8598262779293,5.049.640,859.413,967.508,1.250.366,3.500.882,93.29301616380282,7.842.778,27.15573716608442,BUENOS AIRES,Hurlingham,William C. Morris,SI,SI,SI,SI
3314,2018.5540474433956,3.5877920595507686,SI,2.756.294,226.285,178.30530940606047,155.34466900659575,9.571.562,Oct-Dic 2014,29.587209315844564,-13.784276275268383,5.049.640,859.413,967.508,1.250.366,3.500.882,77.65847104367465,7.842.778,27.27227669630976,BUENOS AIRES,Ituzaingó,Ituzaingó Centro,SI,SI,SI,SI
3315,2020.1716928812918,2.6010079612635333,SI,2.756.294,226.285,268.34876154557736,114.56325130502829,9.571.562,Oct-Dic 2014,74.70205837199542,200.58501586549602,5.049.640,859.413,967.508,1.250.366,3.500.882,85.97040892722094,7.842.778,22.172658327543534,BUENOS AIRES,Ituzaingó,Ituzaingó Sur,SI,SI,SI,SI
3316,2019.32673408673,3.203567542987231,SI,2.756.294,226.285,123.55796289506968,199.99811083810502,9.571.562,Oct-Dic 2014,-18.087680910138893,178.97711309797495,5.049.640,859.413,967.508,1.250.366,3.500.882,138.18489371761092,7.842.778,29.249037924319666,BUENOS AIRES,Ituzaingó,Villa Gobernador Udaondo,SI,SI,SI,SI
3317,2014.8352960890552,4.205399681876781,SI,2.756.294,226.285,227.63865203981862,92.0952726190679,9.571.562,Oct-Dic 2014,29.212619686539178,64.58769056141364,5.049.640,859.413,967.508,1.250.366,3.500.882,2.1777361095461885,7.842.778,41.35877718188631,BUENOS AIRES,José C. Paz,Del Viso,SI,SI,SI,SI
3318,2020.3930982006304,1.3378248648312794,SI,2.756.294,226.285,240.4358520896326,39.41213471399388,9.571.562,Oct-Dic 2014,111.20909999219072,240.87310602762028,5.049.640,859.413,967.508,1.250.366,3.500.882,183.86747042234015,7.842.778,22.5427205517485,BUENOS AIRES,José C. Paz,José C Paz,SI,SI,SI,SI
3319,2021.3078558830248,2.306362694236878,SI,2.756.294,226.285,135.03537881947395,216.41293701992686,9.571.562,Oct-Dic 2014,40.46931527510213,299.3262150832126,5.049.640,859.413,967.508,1.250.366,3.500.882,193.14154091935143,7.842.778,11.685405808817418,BUENOS AIRES,Necochea,Costa Bonita,SI,SI,SI,SI
3320,2016.2481776091167,3.0250288681827437,SI,2.756.294,226.285,483.919969213592,174.15356249565522,9.571.562,Oct-Dic 2014,67.57963946189753,619.9897010731829,5.049.640,859.413,967.508,1.250.366,3.500.882,10.417210624811915,7.842.778,23.096882620262175,BUENOS AIRES,Necochea,Energía,SI,SI,SI,SI
3321,2022.6179353874184,2.4585023748772232,SI,2.756.294,226.285,438.0105857592183,87.20058878912047,9.571.562,Oct-Dic 2014,80.95037146733037,287.7777557715959,5.049.640,859.413,967.508,1.250.366,3.500.882,220.0573846278264,7.842.778,25.415683881621206,BUENOS AIRES,Necochea,Juan N. Fernández,SI,SI,SI,SI
3322,2019.2230979759765,3.1391446327988315,SI,2.756.294,226.285,180.52953330898436,218.5176832284754,9.571.562,Oct-Dic 2014,81.82656594619174,192.05232718277372,5.049.640,859.413,967.508,1.250.366,3.500.882,148.53602740045255,7.842.778,38.38632873631889,BUENOS AIRES,Necochea,Necochea - Quequén,SI,SI,SI,SI
3323,2013.213937495695,3.073004940332232,SI,2.756.294,226.285,333.170412671094,382.0837405928741,9.571.562,Oct-Dic 2014,78.96890047261432,72.72518828679895,5.049.640,859.413,967.508,1.250.366,3.500.882,140.55634347912232,7.842.778,24.183552550476506,BUENOS AIRES,Necochea,Nicanor Olivera (Est. La Dulce),SI,SI,SI,SI
3324,2012.5892508044778,2.36240222408488,SI,2.756.294,226.285,518.944216797144,179.9851531289527,9.571.562,Oct-Dic 2014,19.798086621229807,442.4260233792792,5.049.640,859.413,967.508,1.250.366,3.500.882,328.70778113387786,7.842.778,18.95272098087935,BUENOS AIRES,Necochea,Ramón Santamarina,SI,SI,SI,SI
3325,2017.4178899138328,2.9261469158517914,SI,2.756.294,226.285,313.5472360911661,112.56475303306645,9.571.562,Oct-Dic 2014,100.884475637236,141.76184400119106,5.049.640,859.413,967.508,1.250.366,3.500.882,-37.88144017222669,7.842.778,18.19330179179743,BUENOS AIRES,Olavarría,Blancagrande,SI,SI,SI,SI
3326,2017.5587377335878,0.6698762179945119,SI,2.756.294,226.285,255.54972277415342,287.03243599784594,9.571.562,Oct-Dic 2014,71.40131882320442,604.3155073861556,5.049.640,859.413,967.508,1.250.366,3.500.882,10.284423947953456,7.842.778,29.871407534313683,BUENOS AIRES,Olavarría,Colonia Hinojo,SI,SI,SI,SI
3327,2015.1156107152626,5.208308531430733,SI,2.756.294,226.285,174.64835300843737,49.98002337326024,9.571.562,Oct-Dic 2014,-37.6715010148475,206.66403247142404,5.049.640,859.413,967.508,1.250.366,3.500.882,167.2800094177094,7.842.778,28.008950009888878,BUENOS AIRES,Olavarría,Colonia Nievas,SI,SI,SI,SI
3328,2017.307981091466,2.420651602466896,SI,2.756.294,226.285,193.08856257978098,273.68816924374835,9.571.562,Oct-Dic 2014,74.42306209306611,87.93447775659305,5.049.640,859.413,967.508,1.250.366,3.500.882,292.8387576242003,7.842.778,9.052602940882357,BUENOS AIRES,Olavarría,Colonia San Miguel,SI,SI,SI,SI
3329,2013.8178849476656,3.360757508055457,SI,2.756.294,226.285,300.57877922409455,282.8049617414039,9.571.562,Oct-Dic 2014,63.229096427800975,-17.111099371394175,5.049.640,859.413,967.508,1.250.366,3.500.882,-14.187122977397507,7.842.778,9.84407114388629,BUENOS AIRES,Olavarría,Espigas,SI,SI,SI,SI
3330,2016.685321084271,5.086539042825396,SI,2.756.294,226.285,434.3492928387063,-7.27680021128117,9.571.562,Oct-Dic 2014,164.1910887334336,37.22997417650922,5.049.640,859.413,967.508,1.250.366,3.500.882,182.51259358394123,7.842.778,16.240448301326694,BUENOS AIRES,Olavarría,Hinojo,SI,SI,SI,SI
3331,2018.7065679193474,4.5075175203413576,SI,2.756.294,226.285,138.11560151592133,100.60166484981934,9.571.562,Oct-Dic 2014,-1.0847058184241902,175.81001113262417,5.049.640,859.413,967.508,1.250.366,3.500.882,29.271582907088003,7.842.778,26.03255334039209,BUENOS AIRES,Olavarría,Olavarría,SI,SI,SI,SI
3332,2016.8592234819698,1.8869093358722084,SI,2.756.294,226.285,250.76125602067557,156.93742753333933,9.571.562,Oct-Dic 2014,-58.76991406690369,-23.880130615302335,5.049.640,859.413,967.508,1.250.366,3.500.882,144.72157707087115,7.842.778,11.197827894498085,BUENOS AIRES,Olavarría,Recalde,SI,SI,SI,SI
3333,2021.2712101299746,0.7687504385776094,SI,2.756.294,226.285,180.13638130067966,153.8484149743933,9.571.562,Oct-Dic 2014,62.49856834562101,-36.737060154185144,5.049.640,859.413,967.508,1.250.366,3.500.882,-50.84712408237931,7.842.778,15.496583110212246,BUENOS AIRES,Olavarría,Santa Luisa,SI,SI,SI,SI
3334,2018.8886554466048,2.907200496972403,SI,2.756.294,226.285,244.06196020800118,25.610834250749633,9.571.562,Oct-Dic 2014,-7.472638879124496,388.1342065569411,5.049.640,859.413,967.508,1.250.366,3.500.882,130.53907067114838,7.842.778,22.56777624336177,BUENOS AIRES,Chivilcoy,San Sebastián,SI,SI,SI,SI
3335,2015.9351380959904,0.9933575972090585,SI,2.756.294,226.285,105.284853183081,177.46313747284327,9.571.562,Oct-Dic 2014,-30.90228020812099,266.8228772285035,5.049.640,859.413,967.508,1.250.366,3.500.882,45.90939412823984,7.842.778,19.355535040467544,BUENOS AIRES,Colón,Colón,SI,SI,SI,SI
3336,2014.9512127543596,2.2987734103548685,SI,2.756.294,226.285,473.8184204653852,24.702654935588654,9.571.562,Oct-Dic 2014,-11.074107370226919,302.8301765972277,5.049.640,859.413,967.508,1.250.366,3.500.882,167.02540281260846,7.842.778,13.808084068254665,BUENOS AIRES,Colón,El Arbolito,SI,SI,SI,SI
3337,2019.0167172122747,2.3238598053015505,SI,2.756.294,226.285,-46.511111509264424,-25.245348421193768,9.571.562,Oct-Dic 2014,102.1456922382225,1.9324333991851006,5.049.640,859.413,967.508,1.250.366,3.500.882,-2.0253862163795873,7.842.778,16.8345100226608,BUENOS AIRES,Colón,Pearson,SI,SI,SI,SI
3338,2021.2236983725945,0.5616990867089011,SI,2.756.294,226.285,96.86090178841681,105.86896241893541,9.571.562,Oct-Dic 2014,137.4551345400812,123.98180919457116,5.049.640,859.413,967.508,1.250.366,3.500.882,-2.2797645950711427,7.842.778,21.108822159308108,BUENOS AIRES,Colón,Sarasa,SI,SI,SI,SI
3339,2016.5753206747124,1.5993671477465274,SI,2.756.294,226.285,383.2289391946222,166.55085732926224,9.571.562,Oct-Dic 2014,-83.67842622522616,52.1999481344358,5.049.640,859.413,967.508,1.250.366,3.500.882,34.21534165659655,7.842.778,11.864244576864762,BUENOS AIRES,Colón,Villa Manuel Pomar,SI,SI,SI,SI
3340,2020.7347785397558,1.650589267676827,SI,2.756.294,226.285,108.78241615584528,171.0148639935805,9.571.562,Oct-Dic 2014,98.64363805348832,249.48332082491794,5.049.640,859.413,967.508,1.250.366,3.500.882,205.54334812108152,7.842.778,26.156265659233537,BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,SI,SI,SI,SI
3341,2014.5387153906574,3.7132120041222696,SI,2.756.294,226.285,156.3958320220028,158.19284132618273,9.571.562,Oct-Dic 2014,76.200190022182,345.6661473503352,5.049.640,859.413,967.508,1.250.366,3.500.882,70.82555314038146,7.842.778,29.576028596909683,BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,SI,SI,SI,SI
3342,2022.1401656069918,3.009797433710537,SI,2.756.294,226.285,297.9854226148275,224.57303085491185,9.571.562,Oct-Dic 2014,-24.903993101620138,117.53505278994959,5.049.640,859.413,967.508,1.250.366,3.500.882,13.989440527032798,7.842.778,16.638706066839006,BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,SI,SI,SI,SI
3343,2018.444571070916,2.846885320092143,SI,2.756.294,226.285,8.31663823532952,79.78842309027489,9.571.562,Oct-Dic 2014,99.42015357834035,313.0943680704936,5.049.640,859.413,967.508,1.250.366,3.500.882,-30.745894456963697,7.842.778,31.21411814830163,BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta (Est Almirante Solier),SI,SI,SI,SI
3344,2018.3446023504296,3.7166071762302635,SI,2.756.294,226.285,152.9858933682885,145.81224943665757,9.571.562,Oct-Dic 2014,26.515743057939048,243.51722689517405,5.049.640,859.413,967.508,1.250.366,3.500.882,155.61028853581524,7.842.778,17.762234514448572,BUENOS AIRES,Coronel de Marina L. Rosales,Villa del Mar,SI,SI,SI,SI
3345,2017.2408949449812,1.6125067599701195,SI,2.756.294,226.285,367.0678844073693,241.1149544867929,9.571.562,Oct-Dic 2014,82.96973197461932,403.9953044370694,5.049.640,859.413,967.508,1.250.366,3.500.882,49.20280299956917,7.842.778,26.987163744237357,BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias (Est. Kilómetro 638),SI,SI,SI,SI
